geo_code,signature_type,use,greenspace,job_types,air_quality,house_affordability,job_accessibility,greenspace_accessibility
E00042786,7,-0.3269997827810214,0.0,0.3325089377719739,17.01952939930707,-7.4008052498395545,4129.842902330543,731496.7494409243
E00042707,10,0.5414007021461178,0.03535481775939103,0.7144070879723708,16.219812500240387,-7.592581510979517,14287.545366862189,1109229.327410393
E00042703,7,0.9293359722282215,0.07892014438416328,0.49502207408151133,17.054621420694797,-7.425732372857336,9501.59240039433,936070.1964202083
E00042782,7,-0.3269997827810214,0.0,0.31028855780513964,16.565734181782755,-7.4688292065391275,4625.11765218113,708238.5165445838
E00042789,7,-0.3269997827810214,0.29270730632380865,0.33502530010017584,17.358922436346305,-7.3238413172358285,4183.645291542108,775547.2676112062
E00042708,10,-0.06785723390094,0.009274529419017727,0.5254699814069119,16.393811003049823,-7.391440524129074,6276.176181439761,2826241.0860593356
E00042067,4,-0.2505854515022947,0.2449311938742727,0.4132913267934788,16.541740175723696,-7.952705413744679,2127.3336316239916,960947.3416186695
E00042064,10,0.764590620803433,0.2717137819434885,0.3969010399895587,16.26487328228002,-7.073942381355979,11981.870902332357,1385259.9452279941
E00042551,10,0.6390263425019017,0.3866009679860751,0.7059693446626996,16.800562788943946,-7.642946902395737,1704.1807577373456,1165530.8595294044
E00042655,11,1.0,0.0,0.9521323105135815,16.974591449516844,-7.692043626229489,28207.26028149888,920151.6859237995
E00175594,11,0.8474427236591979,0.0,0.6831000861937098,16.45394827798112,-7.643890047541377,34438.521831709295,2265646.489708884
E00042115,10,0.96736672481273,0.04918666519628012,0.5883876304547743,15.839213381242352,-7.349682334681777,13125.922255798108,929603.003112416
E00042194,7,-0.12276925063977048,0.01984115403239256,0.09817899743991243,16.555962015766312,-7.180738075166979,11316.923975978862,1423707.1163228415
E00042198,8,1.0,0.43894219229589243,0.7726989903665451,18.17469601576874,-7.660191337216985,5320.190398809655,1058570.799462743
E00042213,4,-0.7165932290524566,0.3769753202340761,1.0,16.26420886782364,-7.613033131213678,3120.2004772013292,577958.7307388361
E00042292,8,1.0,0.4084184356863036,0.524814974982586,16.2613999123178,-7.801126194288447,3908.8097014256427,501542.6953329295
E00042210,8,1.0,0.43894219229589243,0.7390606397184339,17.536431996006105,-7.413340707750024,6757.756010926601,935129.0909231766
E00042291,8,1.0,0.43894219229589243,0.18939027251904522,16.583048273695958,-7.303245070876318,8858.522235279623,1046321.8532668164
E00175598,7,0.9293359722282215,0.12301953573185123,0.6438755291566378,17.16681449193347,-7.630104734923705,12551.877316659446,2602645.916924071
E00042116,10,0.47574522357854954,0.04918666519628012,0.7819829504479405,16.606109280314712,-7.252906757597262,11883.927946826407,887379.3604392093
E00042900,10,0.764590620803433,0.2717137819434885,0.6214556948372363,15.966426617001215,-7.609605533231891,14742.629787191658,3592204.86430356
E00042930,5,0.08026804916851107,0.6292895912134118,0.21593604393295135,16.834187483428796,-7.524128522051073,2658.155485250264,1341926.2662809906
E00042197,8,1.0,0.43894219229589243,0.6004110418019373,17.04916417603582,-7.578041261732261,5194.392992306944,884190.828287561
E00042196,10,0.96736672481273,0.04918666519628012,0.8092763640544314,16.555508187571807,-7.286821657669577,8663.99107045969,1216702.0085367342
E00042117,8,-0.28066409386169056,0.3890978103675626,0.16268473929959132,16.0231485264767,-7.296179806602323,4028.2511518041993,718138.882656679
E00042114,10,0.96736672481273,0.04918666519628012,0.46598071996553325,16.39442725360042,-7.486054731110715,15294.849156254855,836926.4487295982
E00042195,7,-0.12276925063977048,0.4675360995930738,0.09562519974745765,16.535607265315253,-7.091422897589277,9591.77419870521,1260187.9320629495
E00042478,7,0.8755771099953354,0.5233101471557938,0.9303462889010918,16.60594745173964,-7.645364953890871,9259.094423847162,2690610.910443769
E00042799,7,-0.551134714796731,0.4111903915317357,0.6301862912554799,17.44687437972097,-7.540930891679024,4621.600613773762,843787.7965400484
E00042718,8,1.0,0.43894219229589243,0.6023690090829208,16.864023955652577,-7.4819239049722155,3342.475816693067,1172472.136470736
E00042629,6,-0.5908554131395058,0.6268938068291605,0.3192207319003955,18.71561586973224,-7.543688284488039,3494.108133594515,934358.9319227365
E00042447,10,-0.1261070738555195,0.22452519024982903,0.7011086678740895,16.48677854975628,-7.835567124217891,7269.850538686226,2353146.38489617
E00042639,3,-0.9412169676803814,0.0,0.36422537208176625,18.31942259109231,-7.425787228325231,-571.3006719095691,53353.312313952585
E00042165,4,1.0,0.03296111866228241,0.28849753147190926,15.979494613566345,-7.789706487199229,1183.1416386136207,537037.316449105
E00042827,11,0.10119133134213565,0.0,0.9312546008825343,17.652828549685946,-7.436598529266606,15677.119401940345,1154304.637425876
E00042082,3,-1.0,0.0,0.42351818388601814,17.290651416246,-7.692276961008485,2840.0249348693314,706915.2479830917
E00042455,10,0.19604122764653853,0.0,0.6099033015892047,16.316834581494234,-7.836616029032026,10964.021081821262,2270081.365969969
E00042667,11,1.0,0.0,1.0,17.32828910724919,-7.591070590644052,29020.22967461185,714926.5359035686
E00042765,8,-0.5359584425647155,0.08162548946368192,0.5520615679068905,16.71008388853742,-7.159054430003312,864.9512234973872,1029355.2689699542
E00042608,10,0.764590620803433,0.2717137819434885,0.6202305856351332,16.867199243339837,-7.687282137606914,13366.914652634201,3875995.878149737
