geo_code,signature_type,use,greenspace,job_types,air_quality,house_affordability,job_accessibility,greenspace_accessibility
E00042786,7,0.6665105985777068,0.3954360602138282,0.43406204084842026,-17.31333699047326,-7.678163101945358,4366.423140737458,1145623.9152449025
E00042707,10,0.9638975072206262,0.23554287540428992,0.90149036465503,-16.14294603588597,-7.55794213108749,11009.934519503116,1310154.3076562562
E00042703,7,0.2561272365119137,0.24546467482353246,0.009922566512294666,-16.999134283962185,-7.2289117683426465,2635.092404224837,851543.4169935911
E00042782,7,0.6665105985777068,0.3954360602138282,0.411841660881586,-16.70129981547168,-7.632263264377093,4148.633778136011,1195052.012470344
E00042789,7,0.6665105985777068,0.4121645966513118,0.4365784031766222,-17.152718649674878,-7.469710493986249,6417.628418284915,1143539.7074553447
E00042708,10,0.8186104294759668,0.08719486680792893,0.6328609550430317,-15.906146086182131,-7.443708748409047,6678.422810079635,2991397.401169612
E00042067,4,-0.8528708161384928,0.03758221804368388,0.9012614917181676,-16.35792424890324,-7.822089403312775,2539.0827421339013,592482.477636954
E00042064,10,0.8186104294759668,0.07567036660482118,0.41726197450001384,-16.741353595002586,-7.02208560063266,10231.789444411614,641535.1595176212
E00042551,10,0.8186104294759668,0.4330213834958336,0.25618702941040766,-16.762432276143233,-7.285680945397242,4747.112922263029,1277482.6320019288
E00042655,11,0.45163153126564165,0.16562540073261137,0.9919293012852897,-16.931046519207797,-7.435430303626986,17692.629644668566,1520064.840563002
E00175594,11,0.08851402735431169,0.3978615619348944,0.9195866766462261,-15.971992615189206,-7.224149571612356,25503.7865174288,3228764.2979243575
E00042115,10,0.8186104294759668,0.41232566248778096,0.08111313508244083,-16.479343893960525,-7.144971346645731,6871.883117598165,1516809.7531121098
E00042194,7,0.8069133630720843,0.28326332452777087,0.0,-16.656249982462654,-7.401665760266265,7932.155517545314,1426254.0018046575
E00042198,8,-0.2243861883303565,0.44197445223644644,1.0,-16.64434748195055,-7.833226154551591,3031.4079463785656,801756.3026860802
E00042213,4,0.3475726590228039,0.03758221804368388,0.9636177221098823,-16.40537488921831,-7.567721163913116,1810.6674626647796,412241.2944185483
E00042292,8,-0.27896024005199643,0.3861151458481167,0.665580358700037,-14.524755106619587,-7.822061428959203,1314.1939002172871,602663.5265836307
E00042210,8,0.09426851036607072,0.4613810012951048,0.9176290651319289,-16.872825510752534,-7.582214010862855,5478.771339514298,1002934.1169891508
E00042291,8,0.09426851036607072,0.4613810012951048,0.23422553792582967,-16.610945476907816,-7.304773116752146,3839.897201504284,1309400.61011897
E00175598,7,-0.2801031798761795,0.03664835954182678,0.8080685912582429,-16.771729143172323,-7.2716190698497725,5034.679995151777,2385625.2528670365
E00042116,10,0.8186104294759668,0.41232566248778096,0.09213025472551789,-16.721566615427413,-7.074780266241655,7568.332021589078,1528091.6370962812
E00042900,10,0.27460850484804955,0.0,0.7901152670525065,-16.06566849152057,-7.136643416504614,9314.844714568688,3974255.9238337376
E00042930,5,-0.4917874508192752,0.2327167871681776,0.2902166922540901,-15.323822428838572,-7.4162403781936295,1930.8190547170066,833580.2570414506
E00042197,8,-0.2243861883303565,0.44197445223644644,0.9277893157509896,-16.800591618063738,-7.976604648347886,562.2986289322043,753741.3311716665
E00042196,10,0.7392809046971119,0.0,0.5936354372624868,-16.23135912847487,-7.4495727267077525,5903.082861411797,1365466.831580785
E00042117,8,-0.24293289839392582,0.31257966502647916,0.0473275612899782,-16.585120485366684,-7.412439663611252,3435.2628140508405,877823.5430997065
E00042114,10,0.8186104294759668,0.41232566248778096,0.03457746034714548,-16.471865694306207,-7.1787293978606765,8834.632338118114,1464209.378177878
E00042195,7,0.8069133630720843,0.28326332452777087,0.0,-16.380583135183382,-7.335433331372643,7298.308612169665,1237592.3290277636
E00042478,7,0.1290213227746033,0.17831400060681085,0.8130303242591532,-16.55246972032359,-7.381510968811382,3014.4725044080005,2407795.9635716565
E00042799,7,0.39654634650266357,0.27869746132807893,0.5991491036911757,-17.021401591715954,-7.648640933249007,7379.542539698844,947233.896850961
E00042718,10,-0.10553335593280465,0.2305988899087127,0.7575019757685928,-16.540528661363915,-7.512010278838762,2061.8517685488705,1166190.2451356663
E00042629,8,-0.5565083381723555,0.025337856651720066,0.22543828363653612,-14.82672168438901,-7.425826443582981,10481.161357406194,1686229.799549328
E00042447,10,0.8186104294759668,0.22986591893395786,0.3380230597247223,-16.453408398677706,-7.494583424757654,7176.197338093223,2636810.1952478187
E00042639,3,-0.20699223546820636,0.15320750115881157,0.0,-17.37278153925239,-7.372909463437563,-99.21301939246575,189733.1906300068
E00042165,4,0.1415281958603563,0.03758221804368388,0.709531426535513,-15.450495973351808,-7.757889236059985,87.90572326237356,376693.72779307346
E00042827,11,-0.3894257246524608,0.5857078055808691,0.7783249213848391,-16.410361284999695,-6.948430880999822,8951.084413130131,1691575.2184883952
E00042082,2,-0.6948249845404948,0.12844483777207893,0.8364776151204851,-17.091047264730403,-7.798961590630563,2392.2567989497493,547674.9130351855
E00042455,10,-0.2679378060209354,0.35094575645017556,0.7689942980003032,-16.00294361369899,-7.307262798229624,8858.103489316309,2830934.0214748746
E00042667,11,-0.59483231449604,0.2277172734523142,0.5336656400014316,-16.162157396731235,-7.280909525467995,17360.13522325089,1420425.2293839671
E00042765,8,-0.9349561664667905,0.29290839037792055,1.0,-16.11652873937843,-7.273234538728813,5745.351139303969,1311431.5975627687
