geo_code,signature_type,use,greenspace,job_types,air_quality,house_affordability,job_accessibility,greenspace_accessibility
E00042195,7,0.5144914985309625,0.13582728865738647,0.003434830350230955,-16.811517949798052,-7.143075832290202,6188.487586466428,1032656.195527286
E00042478,7,0.04802781393641646,0.18792702977729375,0.8714699357882112,-16.540312507045954,-7.316791852422959,2508.478428014013,2393117.100005029
E00042799,7,0.10412448196154184,0.13126142545769454,0.6025839340414066,-16.998732139504817,-7.553034142317287,5868.9328692475965,750318.377006258
E00042718,10,-0.31122245509858515,0.022073653324788195,0.8441754475085758,-16.843477127725084,-7.745726653734202,2232.6826480780023,980278.7097498004
E00042629,8,-0.4583672536908637,0.10024630986032321,0.24644132324106083,-14.107077852392377,-7.347538537941986,3283.2448297555165,1631694.242711206
E00042447,10,0.6129213303101864,0.021340682350033363,0.42469653146470526,-16.74790160875659,-7.896298951288842,7418.228551896711,2442713.5088779945
E00042639,3,-0.44448184659932577,0.0,0.028757013390636743,-17.09363258780339,-7.495036389222682,-265.4615983381716,47919.69534719248
E00042165,4,0.2850149380474103,0.018895263386590096,0.6516011164188075,-15.178793751109355,-7.639155345331188,528.2421757797201,334755.2915450648
E00042827,11,-0.043095671373305944,0.5112614432048652,0.7329499893824301,-16.098962226969345,-7.210712924716693,15482.081897981481,1401326.9275887804
E00042082,2,-0.7287211983812334,0.15598372161010676,0.7981737924473927,-17.051664203608443,-7.679037686906317,2629.372220486476,542381.3062990586
E00042455,10,-0.41183912539947554,0.26292123315669635,0.8347265515621057,-16.40262855604622,-7.59867065439585,9501.677823317881,2596381.130630796
E00042667,11,-0.5377213200458523,0.14413739578094167,0.5099496760903516,-16.855937938208385,-7.643407863034332,19777.624598093746,1251013.4730522223
E00042765,8,-1.0,0.3410589989509316,0.8357247875497382,-16.35947428811234,-7.362967558751168,5092.686458463295,1286997.9718745905
E00042608,10,0.48786302562276085,0.13883957414862305,0.8319569325921475,-16.917759999113304,-7.646922852877667,12033.241967383252,3095473.731132728
E00042689,7,0.17513372767372687,0.25507770399401536,0.058439611529057967,-16.798310920506736,-7.121234157984531,3336.644362417985,1002330.8944359946
E00042690,7,0.17513372767372687,0.25507770399401536,0.058439611529057967,-17.108758609080212,-7.354322024644725,883.6975509125264,1063546.589443353
E00042611,3,-0.44448184659932577,0.0,0.18555319242233914,-16.848760073762023,-7.293856328512829,1087.0697719812767,1098185.3799837362
E00042856,3,-0.38518529547029384,0.09524465209794293,0.8593144534516578,-16.65995770835668,-7.735791619380278,430.63449994700125,1690583.3185624024
E00042857,5,-0.6008634128277867,0.2551084511106524,0.318342700048869,-16.395876679669097,-7.6271308036649295,3877.9939622616043,736926.5743263235
E00042854,3,-0.38518529547029384,0.09524465209794293,0.859002153720257,-17.18221724095043,-7.647148623482402,503.79955504611917,1777169.5199672251
E00042855,3,-0.18341119673948655,0.09524465209794293,0.9621951127446965,-17.07298274677688,-7.6125371945413605,398.70429295375743,1594790.5098640707
E00042852,2,0.4140520616789679,0.46735851209878276,0.6651718238754742,-16.536240775908443,-7.837068026904812,788.5926592036833,1644877.8556809193
E00042853,3,0.8668097098880706,0.11261079860383497,0.8059857086412128,-16.553319076775292,-7.828170172401663,3482.088229540547,718728.9166688769
E00042850,8,-0.46154861385916907,0.47496865888058915,0.19312501263325693,-16.27536578434738,-7.503724734462041,3427.5649165324407,738280.4669359238
E00042851,5,-0.6008634128277867,0.2551084511106524,0.3206544496254595,-16.168778285260238,-7.703451374955732,2527.9256258576997,809601.9841946256
E00042858,5,-0.6707146808403315,0.0,0.8219451263026623,-16.789175645393392,-7.648940294276473,1015.8967236914355,523763.28685959487
